Staff_AMKA,First_Name,Last_Name,Age,surgery_count
10000000391,Αλέξανδρος,Οικονόμου,33,6
10000000412,Στέφανος,Οικονόμου,30,6
10000000382,Κώστας,Σταύρου,29,4
10000000406,Παναγιώτης,Αθανασίου,28,4
10000000427,Νίκος,Αντωνίου,33,4
10000000383,Κώστας,Αντωνίου,33,3
10000000390,Δήμητρα,Σταύρου,27,3
10000000392,Αναστασία,Παπαδόπουλος,31,3
10000000405,Αλέξανδρος,Σταύρου,32,3
10000000421,Ανδρέας,Ιωάννου,28,3
10000000376,Κατερίνα,Αντωνίου,31,2
10000000398,Ανδρέας,Ιωάννου,30,2
10000000407,Κατερίνα,Γεωργίου,31,2
10000000413,Δήμητρα,Σταύρου,28,2
10000000420,Κώστας,Παπαδόπουλος,31,2
10000000428,Χριστίνα,Δημητρίου,31,1
