Patient_AMKA,Patient_First_Name,Patient_Last_Name,Total_Days_Stayed
40000000009,Ιωάννα,Κωνσταντίνου,52
40000000072,Ιωάννα,Αθανασίου,52
40000000028,Αλέξανδρος,Πέτρου,47
40000000069,Νίκος,Πέτρου,47
40000000003,Άννα,Νικολάου,42
40000000005,Στέφανος,Ιωάννου,42
40000000036,Σοφία,Σταύρου,38
40000000006,Σοφία,Ιωάννου,38
40000000364,Κώστας,Νικολάου,34
40000000126,Μαρία,Δημητρίου,34
40000000190,Παναγιώτης,Σταύρου,33
40000000047,Κώστας,Γεωργίου,33
40000000058,Μαρία,Παπαδόπουλος,32
40000000342,Μιχάλης,Αθανασίου,32
40000000362,Δήμητρα,Δημητρίου,28
40000000077,Μιχάλης,Ιωάννου,28
40000000051,Γιώργος,Παπαδόπουλος,28
40000000388,Κώστας,Μακρής,27
40000000148,Σοφία,Κωνσταντίνου,27
40000000373,Ελένη,Αθανασίου,27
40000000218,Σοφία,Ιωάννου,26
40000000182,Γεωργία,Σταύρου,26
40000000312,Ελένη,Γεωργίου,23
40000000337,Παναγιώτης,Παπαδόπουλος,23
40000000002,Ελένη,Πέτρου,23
40000000366,Στέφανος,Οικονόμου,23
40000000050,Ιωάννα,Γεωργίου,23
40000000032,Δημήτρης,Κωνσταντίνου,23
40000000159,Στέφανος,Δημητρίου,22
40000000114,Μαρία,Αθανασίου,22
40000000014,Ελένη,Αντωνίου,22
40000000062,Παναγιώτης,Γεωργίου,21
40000000345,Στέφανος,Γεωργίου,21
40000000016,Χριστίνα,Ιωάννου,20
40000000063,Στέφανος,Μακρής,20
40000000292,Χριστίνα,Κωνσταντίνου,19
40000000177,Αναστασία,Γεωργίου,19
40000000068,Χριστίνα,Οικονόμου,19
40000000090,Δήμητρα,Πέτρου,19
40000000076,Νίκος,Παπαδόπουλος,19
40000000024,Αναστασία,Νικολάου,19
40000000297,Αλέξανδρος,Μακρής,18
40000000290,Σοφία,Πέτρου,18
40000000070,Παναγιώτης,Δημητρίου,18
40000000276,Νίκος,Ιωάννου,18
40000000175,Ελένη,Γεωργίου,18
40000000352,Δήμητρα,Πέτρου,18
40000000326,Κατερίνα,Κωνσταντίνου,17
40000000021,Μιχάλης,Παπαδόπουλος,17
40000000057,Δημήτρης,Οικονόμου,17
40000000039,Σοφία,Μακρής,17
40000000097,Νίκος,Κωνσταντίνου,17
40000000300,Νίκος,Παπαδόπουλος,17
40000000325,Σοφία,Παπαδόπουλος,17
40000000030,Μιχάλης,Δημητρίου,16
40000000087,Κώστας,Μακρής,16
