Staff_AMKA,num_surgeries
10000000003,3
10000000006,3
10000000011,3
10000000038,3
10000000352,3
10000000002,2
10000000005,2
10000000009,2
10000000032,2
10000000044,2
10000000046,2
10000000054,2
10000000086,2
10000000103,2
10000000106,2
10000000383,2
10000000007,1
10000000014,1
10000000015,1
10000000018,1
10000000026,1
10000000028,1
10000000029,1
10000000031,1
10000000034,1
10000000036,1
10000000040,1
10000000041,1
10000000045,1
10000000047,1
10000000050,1
10000000051,1
10000000070,1
10000000071,1
10000000076,1
10000000081,1
10000000083,1
10000000085,1
10000000087,1
10000000088,1
10000000092,1
10000000096,1
10000000100,1
10000000101,1
10000000105,1
10000000107,1
10000000108,1
10000000109,1
10000000110,1
10000000112,1
10000000116,1
10000000120,1
10000000122,1
10000000128,1
10000000133,1
10000000137,1
10000000139,1
10000000147,1
10000000148,1
10000000149,1
10000000152,1
10000000155,1
10000000157,1
10000000172,1
10000000197,1
10000000210,1
10000000212,1
10000000225,1
10000000232,1
10000000240,1
10000000242,1
10000000255,1
10000000256,1
10000000262,1
10000000263,1
10000000270,1
10000000271,1
10000000277,1
10000000302,1
10000000332,1
10000000338,1
10000000361,1
10000000367,1
10000000368,1
10000000376,1
10000000382,1
10000000398,1
10000000406,1
10000000412,1
10000000428,1
10000000004,0
10000000008,0
10000000010,0
10000000012,0
10000000013,0
10000000016,0
10000000017,0
10000000019,0
10000000020,0
10000000021,0
10000000022,0
10000000023,0
10000000024,0
10000000025,0
10000000027,0
10000000030,0
10000000033,0
10000000035,0
10000000037,0
10000000039,0
10000000042,0
10000000043,0
10000000048,0
10000000049,0
10000000052,0
10000000053,0
10000000055,0
10000000056,0
10000000057,0
10000000058,0
10000000059,0
10000000060,0
10000000061,0
10000000062,0
10000000063,0
10000000064,0
10000000065,0
10000000066,0
10000000067,0
10000000068,0
10000000069,0
10000000072,0
10000000073,0
10000000074,0
10000000075,0
10000000077,0
10000000078,0
10000000079,0
10000000080,0
10000000082,0
10000000084,0
10000000089,0
10000000090,0
10000000091,0
10000000093,0
10000000094,0
10000000095,0
10000000097,0
10000000098,0
10000000099,0
10000000102,0
10000000104,0
10000000111,0
10000000113,0
10000000114,0
10000000115,0
10000000117,0
10000000118,0
10000000119,0
10000000121,0
10000000123,0
10000000124,0
10000000125,0
10000000126,0
10000000127,0
10000000129,0
10000000130,0
10000000131,0
10000000132,0
10000000134,0
10000000135,0
10000000136,0
10000000138,0
10000000140,0
10000000141,0
10000000142,0
10000000143,0
10000000144,0
10000000145,0
10000000146,0
10000000150,0
10000000151,0
10000000153,0
10000000154,0
10000000156,0
10000000158,0
10000000159,0
10000000160,0
10000000161,0
10000000162,0
10000000163,0
10000000164,0
10000000165,0
10000000166,0
10000000167,0
10000000168,0
10000000169,0
10000000170,0
10000000171,0
10000000173,0
10000000174,0
10000000175,0
10000000176,0
10000000177,0
10000000178,0
10000000179,0
10000000180,0
10000000181,0
10000000182,0
10000000183,0
10000000184,0
10000000185,0
10000000186,0
10000000187,0
10000000188,0
10000000189,0
10000000190,0
10000000191,0
10000000192,0
10000000193,0
10000000194,0
10000000195,0
10000000196,0
10000000198,0
10000000199,0
10000000200,0
10000000201,0
10000000202,0
10000000203,0
10000000204,0
10000000205,0
10000000206,0
10000000207,0
10000000208,0
10000000209,0
10000000211,0
10000000213,0
10000000214,0
10000000215,0
10000000216,0
10000000217,0
10000000218,0
10000000219,0
10000000220,0
10000000221,0
10000000222,0
10000000223,0
10000000224,0
10000000226,0
10000000227,0
10000000228,0
10000000229,0
10000000230,0
10000000231,0
10000000233,0
10000000234,0
10000000235,0
10000000236,0
10000000237,0
10000000238,0
10000000239,0
10000000241,0
10000000243,0
10000000244,0
10000000245,0
10000000246,0
10000000247,0
10000000248,0
10000000249,0
10000000250,0
10000000251,0
10000000252,0
10000000253,0
10000000254,0
10000000257,0
10000000258,0
10000000259,0
10000000260,0
10000000261,0
10000000264,0
10000000265,0
10000000266,0
10000000267,0
10000000268,0
10000000269,0
10000000272,0
10000000273,0
10000000274,0
10000000275,0
10000000276,0
10000000278,0
10000000279,0
10000000280,0
10000000281,0
10000000282,0
10000000283,0
10000000284,0
10000000285,0
10000000286,0
10000000287,0
10000000288,0
10000000289,0
10000000290,0
10000000291,0
10000000292,0
10000000293,0
10000000294,0
10000000295,0
10000000296,0
10000000297,0
10000000298,0
10000000299,0
10000000300,0
10000000301,0
10000000303,0
10000000304,0
10000000305,0
10000000306,0
10000000307,0
10000000308,0
10000000309,0
10000000310,0
10000000311,0
10000000312,0
10000000313,0
10000000314,0
10000000315,0
10000000316,0
10000000317,0
10000000318,0
10000000319,0
10000000320,0
10000000321,0
10000000322,0
10000000323,0
10000000324,0
10000000325,0
10000000326,0
10000000327,0
10000000328,0
10000000329,0
10000000330,0
10000000331,0
10000000333,0
10000000334,0
10000000335,0
10000000336,0
10000000337,0
10000000339,0
10000000340,0
10000000341,0
10000000342,0
10000000343,0
10000000344,0
10000000345,0
10000000346,0
10000000347,0
10000000348,0
10000000349,0
10000000350,0
10000000351,0
10000000353,0
10000000354,0
10000000355,0
10000000356,0
10000000357,0
10000000358,0
10000000359,0
10000000360,0
10000000362,0
10000000363,0
10000000364,0
10000000365,0
10000000366,0
10000000369,0
10000000370,0
10000000371,0
10000000372,0
10000000373,0
10000000374,0
10000000375,0
10000000377,0
10000000378,0
10000000379,0
10000000380,0
10000000381,0
10000000384,0
10000000385,0
10000000386,0
10000000387,0
10000000388,0
10000000389,0
10000000390,0
10000000391,0
10000000392,0
10000000393,0
10000000394,0
10000000395,0
10000000396,0
10000000397,0
10000000399,0
10000000400,0
10000000401,0
10000000402,0
10000000403,0
10000000404,0
10000000405,0
10000000407,0
10000000408,0
10000000409,0
10000000410,0
10000000411,0
10000000413,0
10000000414,0
10000000415,0
10000000416,0
10000000417,0
10000000418,0
10000000419,0
10000000420,0
10000000421,0
10000000422,0
10000000423,0
10000000424,0
10000000425,0
10000000426,0
10000000427,0
10000000429,0
10000000430,0
