original_doctor,First_Name,Last_Name,Supervisor_First_Name,Supervisor_Last_Name,Level
10000000018,Χριστίνα,Πέτρου,Χριστίνα,Παπαδόπουλος,1
10000000023,Στέφανος,Νικολάου,Αλέξανδρος,Κωνσταντίνου,1
10000000024,Παναγιώτης,Πέτρου,Άννα,Αθανασίου,1
10000000026,Μαρία,Αντωνίου,Βασίλης,Οικονόμου,1
10000000030,Γιώργος,Μακρής,Σοφία,Κωνσταντίνου,1
10000000031,Δημήτρης,Σταύρου,Νίκος,Γεωργίου,1
10000000033,Νίκος,Νικολάου,Χριστίνα,Παπαδόπουλος,1
10000000038,Ιωάννα,Δημητρίου,Αλέξανδρος,Κωνσταντίνου,1
10000000039,Βασίλης,Γεωργίου,Άννα,Αθανασίου,1
10000000044,Ιωάννα,Παπαδόπουλος,Μαρία,Αθανασίου,1
10000000048,Αναστασία,Παπαδόπουλος,Χριστίνα,Παπαδόπουλος,1
10000000052,Άννα,Δημητρίου,Βασίλης,Πέτρου,1
10000000054,Χριστίνα,Αντωνίου,Άννα,Αθανασίου,1
10000000058,Δήμητρα,Οικονόμου,Αναστασία,Σταύρου,1
10000000059,Βασίλης,Γεωργίου,Μαρία,Αθανασίου,1
10000000060,Ιωάννα,Οικονόμου,Σοφία,Κωνσταντίνου,1
10000000061,Άννα,Δημητρίου,Νίκος,Γεωργίου,1
10000000064,Μαρία,Μακρής,Κώστας,Δημητρίου,1
10000000067,Άννα,Κωνσταντίνου,Βασίλης,Πέτρου,1
10000000070,Άννα,Οικονόμου,Νίκος,Σταύρου,1
10000000079,Μαρία,Σταύρου,Κώστας,Δημητρίου,1
10000000081,Μαρία,Μακρής,Βασίλης,Δημητρίου,1
10000000083,Σοφία,Παπαδόπουλος,Αλέξανδρος,Κωνσταντίνου,1
10000000084,Αναστασία,Νικολάου,Άννα,Αθανασίου,1
10000000086,Γιώργος,Σταύρου,Βασίλης,Οικονόμου,1
10000000090,Ανδρέας,Πέτρου,Σοφία,Κωνσταντίνου,1
10000000092,Ιωάννα,Νικολάου,Δήμητρα,Σταύρου,1
10000000093,Κατερίνα,Μακρής,Χριστίνα,Παπαδόπουλος,1
10000000094,Δημήτρης,Οικονόμου,Κώστας,Δημητρίου,1
10000000099,Νίκος,Μακρής,Άννα,Αθανασίου,1
10000000104,Βασίλης,Γεωργίου,Μαρία,Αθανασίου,1
10000000108,Σοφία,Πέτρου,Χριστίνα,Παπαδόπουλος,1
10000000112,Κατερίνα,Αντωνίου,Βασίλης,Πέτρου,1
10000000121,Δήμητρα,Νικολάου,Νίκος,Γεωργίου,1
10000000131,Νίκος,Αντωνίου,Βασίλης,Οικονόμου,1
10000000133,Νίκος,Παπαδόπουλος,Αναστασία,Σταύρου,1
10000000137,Σοφία,Δημητρίου,Δήμητρα,Σταύρου,1
10000000138,Ιωάννα,Μακρής,Χριστίνα,Παπαδόπουλος,1
10000000141,Αναστασία,Δημητρίου,Βασίλης,Δημητρίου,1
10000000142,Σοφία,Δημητρίου,Βασίλης,Πέτρου,1
10000000155,Δημήτρης,Κωνσταντίνου,Βασίλης,Πέτρου,1
10000000161,Ανδρέας,Κωνσταντίνου,Βασίλης,Οικονόμου,1
10000000162,Ιωάννα,Κωνσταντίνου,Δήμητρα,Παπαδόπουλος,1
